SINAPI - Sistema Nacional de Pesquisa de Custos e Índices da Construção Civil,,,,
RELATÓRIO DE CUSTOS DE COMPOSIÇÕES - ENCARGOS SOCIAIS SEM DESONERAÇÃO,,,,
Grupo,"Código da
Composição",Descrição,Unidade,Custo (R$)
"Depreciação, Juros, Impostos e Seguros, Manutenção e Materiais na Operação dos Equipamentos",102852,"GUINDASTE SOBRE ESTEIRAS, COM LANÇA TRELIÇADA 40 M, CAPACIDADE MÁXIMA 75 T, EQUIPADO COM CLAMSHELL - DEPRECIAÇÃO. AF_04/2019",H,-
"Depreciação, Juros, Impostos e Seguros, Manutenção e Materiais na Operação dos Equipamentos",102853,"GUINDASTE SOBRE ESTEIRAS, COM LANÇA TRELIÇADA 40 M, CAPACIDADE MÁXIMA 75 T, EQUIPADO COM CLAMSHELL - JUROS. AF_04/2019",H,-
"Depreciação, Juros, Impostos e Seguros, Manutenção e Materiais na Operação dos Equipamentos",102854,"GUINDASTE SOBRE ESTEIRAS, COM LANÇA TRELIÇADA 40 M, CAPACIDADE MÁXIMA 75 T, EQUIPADO COM CLAMSHELL - MANUTENÇÃO. AF_04/2019",H,-
"Depreciação, Juros, Impostos e Seguros, Manutenção e Materiais na Operação dos Equipamentos",102855,"GUINDASTE SOBRE ESTEIRAS, COM LANÇA TRELIÇADA 40 M, CAPACIDADE MÁXIMA 75 T, EQUIPADO COM CLAMSHELL - MATERIAIS NA OPERAÇÃO. AF_04/2019",H,"64,90"
"Depreciação, Juros, Impostos e Seguros, Manutenção e Materiais na Operação dos Equipamentos",106242,"GUINDAUTO HIDRÁULICO, CAPACIDADE MÁXIMA DE CARGA 14340 KG, MOMENTO MÁXIMO DE CARGA 42,3 TM, ALCANCE MÁXIMO HORIZONTAL16,80 M, INCLUSIVE CAMINHÃO TOCO PBT 23.000 KG, POTÊNCIA DE 256 CV - DEPRECIAÇÃO. AF_10/2025",H,"45,62"
"Depreciação, Juros, Impostos e Seguros, Manutenção e Materiais na Operação dos Equipamentos",106245,"GUINDAUTO HIDRÁULICO, CAPACIDADE MÁXIMA DE CARGA 14340 KG, MOMENTO MÁXIMO DE CARGA 42,3 TM, ALCANCE MÁXIMO HORIZONTAL16,80 M, INCLUSIVE CAMINHÃO TOCO PBT 23.000 KG, POTÊNCIA DE 256 CV - IMPOSTOS E SEGUROS. AF_10/2025",H,"6,23"
"Depreciação, Juros, Impostos e Seguros, Manutenção e Materiais na Operação dos Equipamentos",106243,"GUINDAUTO HIDRÁULICO, CAPACIDADE MÁXIMA DE CARGA 14340 KG, MOMENTO MÁXIMO DE CARGA 42,3 TM, ALCANCE MÁXIMO HORIZONTAL16,80 M, INCLUSIVE CAMINHÃO TOCO PBT 23.000 KG, POTÊNCIA DE 256 CV - JUROS. AF_10/2025",H,"15,37"
"Depreciação, Juros, Impostos e Seguros, Manutenção e Materiais na Operação dos Equipamentos",106244,"GUINDAUTO HIDRÁULICO, CAPACIDADE MÁXIMA DE CARGA 14340 KG, MOMENTO MÁXIMO DE CARGA 42,3 TM, ALCANCE MÁXIMO HORIZONTAL16,80 M, INCLUSIVE CAMINHÃO TOCO PBT 23.000 KG, POTÊNCIA DE 256 CV - MANUTENÇÃO. AF_10/2025",H,"71,32"
"Depreciação, Juros, Impostos e Seguros, Manutenção e Materiais na Operação dos Equipamentos",106246,"GUINDAUTO HIDRÁULICO, CAPACIDADE MÁXIMA DE CARGA 14340 KG, MOMENTO MÁXIMO DE CARGA 42,3 TM, ALCANCE MÁXIMO HORIZONTAL16,80 M, INCLUSIVE CAMINHÃO TOCO PBT 23.000 KG, POTÊNCIA DE 256 CV - MATERIAIS NA OPERAÇÃO. AF_10/2025",H,"155,64"
"Depreciação, Juros, Impostos e Seguros, Manutenção e Materiais na Operação dos Equipamentos",93397,"GUINDAUTO HIDRÁULICO, CAPACIDADE MÁXIMA DE CARGA 3300 KG, MOMENTO MÁXIMO DE CARGA 5,8 TM, ALCANCE MÁXIMO HORIZONTAL 7,60 M, INCLUSIVE CAMINHÃO TOCO PBT 16.000 KG, POTÊNCIA DE 189 CV - DEPRECIAÇÃO. AF_03/2016",H,"24,82"
"Depreciação, Juros, Impostos e Seguros, Manutenção e Materiais na Operação dos Equipamentos",93399,"GUINDAUTO HIDRÁULICO, CAPACIDADE MÁXIMA DE CARGA 3300 KG, MOMENTO MÁXIMO DE CARGA 5,8 TM, ALCANCE MÁXIMO HORIZONTAL 7,60 M, INCLUSIVE CAMINHÃO TOCO PBT 16.000 KG, POTÊNCIA DE 189 CV - IMPOSTOS E SEGUROS. AF_03/2016",H,"3,77"
"Depreciação, Juros, Impostos e Seguros, Manutenção e Materiais na Operação dos Equipamentos",93398,"GUINDAUTO HIDRÁULICO, CAPACIDADE MÁXIMA DE CARGA 3300 KG, MOMENTO MÁXIMO DE CARGA 5,8 TM, ALCANCE MÁXIMO HORIZONTAL 7,60 M, INCLUSIVE CAMINHÃO TOCO PBT 16.000 KG, POTÊNCIA DE 189 CV - JUROS. AF_03/2016",H,"9,35"
"Depreciação, Juros, Impostos e Seguros, Manutenção e Materiais na Operação dos Equipamentos",93400,"GUINDAUTO HIDRÁULICO, CAPACIDADE MÁXIMA DE CARGA 3300 KG, MOMENTO MÁXIMO DE CARGA 5,8 TM, ALCANCE MÁXIMO HORIZONTAL 7,60 M, INCLUSIVE CAMINHÃO TOCO PBT 16.000 KG, POTÊNCIA DE 189 CV - MANUTENÇÃO. AF_03/2016",H,"42,98"
"Depreciação, Juros, Impostos e Seguros, Manutenção e Materiais na Operação dos Equipamentos",93401,"GUINDAUTO HIDRÁULICO, CAPACIDADE MÁXIMA DE CARGA 3300 KG, MOMENTO MÁXIMO DE CARGA 5,8 TM, ALCANCE MÁXIMO HORIZONTAL 7,60 M, INCLUSIVE CAMINHÃO TOCO PBT 16.000 KG, POTÊNCIA DE 189 CV - MATERIAIS NA OPERAÇÃO. AF_03/2016",H,"155,93"
"Depreciação, Juros, Impostos e Seguros, Manutenção e Materiais na Operação dos Equipamentos",89259,"GUINDAUTO HIDRÁULICO, CAPACIDADE MÁXIMA DE CARGA 6200 KG, MOMENTO MÁXIMO DE CARGA 11,7 TM, ALCANCE MÁXIMO HORIZONTAL 9,70 M, INCLUSIVE CAMINHÃO TOCO PBT 16.000 KG, POTÊNCIA DE 189 CV - DEPRECIAÇÃO. AF_06/2014",H,"27,13"
"Depreciação, Juros, Impostos e Seguros, Manutenção e Materiais na Operação dos Equipamentos",91466,"GUINDAUTO HIDRÁULICO, CAPACIDADE MÁXIMA DE CARGA 6200 KG, MOMENTO MÁXIMO DE CARGA 11,7 TM, ALCANCE MÁXIMO HORIZONTAL 9,70 M, INCLUSIVE CAMINHÃO TOCO PBT 16.000 KG, POTÊNCIA DE 189 CV - IMPOSTOS E SEGUROS. AF_08/2015",H,"4,02"
"Depreciação, Juros, Impostos e Seguros, Manutenção e Materiais na Operação dos Equipamentos",89260,"GUINDAUTO HIDRÁULICO, CAPACIDADE MÁXIMA DE CARGA 6200 KG, MOMENTO MÁXIMO DE CARGA 11,7 TM, ALCANCE MÁXIMO HORIZONTAL 9,70 M, INCLUSIVE CAMINHÃO TOCO PBT 16.000 KG, POTÊNCIA DE 189 CV - JUROS. AF_06/2014",H,"9,95"
"Depreciação, Juros, Impostos e Seguros, Manutenção e Materiais na Operação dos Equipamentos",89262,"GUINDAUTO HIDRÁULICO, CAPACIDADE MÁXIMA DE CARGA 6200 KG, MOMENTO MÁXIMO DE CARGA 11,7 TM, ALCANCE MÁXIMO HORIZONTAL 9,70 M, INCLUSIVE CAMINHÃO TOCO PBT 16.000 KG, POTÊNCIA DE 189 CV - MANUTENÇÃO. AF_06/2014",H,"45,87"
"Depreciação, Juros, Impostos e Seguros, Manutenção e Materiais na Operação dos Equipamentos",91467,"GUINDAUTO HIDRÁULICO, CAPACIDADE MÁXIMA DE CARGA 6200 KG, MOMENTO MÁXIMO DE CARGA 11,7 TM, ALCANCE MÁXIMO HORIZONTAL 9,70 M, INCLUSIVE CAMINHÃO TOCO PBT 16.000 KG, POTÊNCIA DE 189 CV - MATERIAIS NA OPERAÇÃO. AF_08/2015",H,"155,93"
"Depreciação, Juros, Impostos e Seguros, Manutenção e Materiais na Operação dos Equipamentos",105839,"GUINDAUTO HIDRÁULICO, CAPACIDADE MÁXIMA DE CARGA 6200 KG, MOMENTO MÁXIMO DE CARGA 11,7 TM, ALCANCE MÁXIMO HORIZONTAL 9,70 M, INCLUSIVE CAMINHÃO TOCO PBT 16.000 KG, POTÊNCIA DE 189 CV E CESTA AÉREA COM ISOLAMENTO CLASSE C - DEPRECIAÇÃO. AF_01/2025",H,-
"Depreciação, Juros, Impostos e Seguros, Manutenção e Materiais na Operação dos Equipamentos",105842,"GUINDAUTO HIDRÁULICO, CAPACIDADE MÁXIMA DE CARGA 6200 KG, MOMENTO MÁXIMO DE CARGA 11,7 TM, ALCANCE MÁXIMO HORIZONTAL 9,70 M, INCLUSIVE CAMINHÃO TOCO PBT 16.000 KG, POTÊNCIA DE 189 CV E CESTA AÉREA COM ISOLAMENTO CLASSE C - IMPOSTOS E SEGUROS. AF_01/2025",H,-
"Depreciação, Juros, Impostos e Seguros, Manutenção e Materiais na Operação dos Equipamentos",105840,"GUINDAUTO HIDRÁULICO, CAPACIDADE MÁXIMA DE CARGA 6200 KG, MOMENTO MÁXIMO DE CARGA 11,7 TM, ALCANCE MÁXIMO HORIZONTAL 9,70 M, INCLUSIVE CAMINHÃO TOCO PBT 16.000 KG, POTÊNCIA DE 189 CV E CESTA AÉREA COM ISOLAMENTO CLASSE C - JUROS. AF_01/2025",H,-
"Depreciação, Juros, Impostos e Seguros, Manutenção e Materiais na Operação dos Equipamentos",105841,"GUINDAUTO HIDRÁULICO, CAPACIDADE MÁXIMA DE CARGA 6200 KG, MOMENTO MÁXIMO DE CARGA 11,7 TM, ALCANCE MÁXIMO HORIZONTAL 9,70 M, INCLUSIVE CAMINHÃO TOCO PBT 16.000 KG, POTÊNCIA DE 189 CV E CESTA AÉREA COM ISOLAMENTO CLASSE C - MANUTENÇÃO. AF_01/2025",H,-
"Depreciação, Juros, Impostos e Seguros, Manutenção e Materiais na Operação dos Equipamentos",105843,"GUINDAUTO HIDRÁULICO, CAPACIDADE MÁXIMA DE CARGA 6200 KG, MOMENTO MÁXIMO DE CARGA 11,7 TM, ALCANCE MÁXIMO HORIZONTAL 9,70 M, INCLUSIVE CAMINHÃO TOCO PBT 16.000 KG, POTÊNCIA DE 189 CV E CESTA AÉREA COM ISOLAMENTO CLASSE C - MATERIAIS NA OPERAÇÃO. AF_01/2025",H,"82,06"
"Depreciação, Juros, Impostos e Seguros, Manutenção e Materiais na Operação dos Equipamentos",91629,"GUINDAUTO HIDRÁULICO, CAPACIDADE MÁXIMA DE CARGA 6500 KG, MOMENTO MÁXIMO DE CARGA 5,8 TM, ALCANCE MÁXIMO HORIZONTAL 7,60 M, INCLUSIVE CAMINHÃO TOCO PBT 9.700 KG, POTÊNCIA DE 160 CV - DEPRECIAÇÃO. AF_08/2015",H,"21,47"
"Depreciação, Juros, Impostos e Seguros, Manutenção e Materiais na Operação dos Equipamentos",91631,"GUINDAUTO HIDRÁULICO, CAPACIDADE MÁXIMA DE CARGA 6500 KG, MOMENTO MÁXIMO DE CARGA 5,8 TM, ALCANCE MÁXIMO HORIZONTAL 7,60 M, INCLUSIVE CAMINHÃO TOCO PBT 9.700 KG, POTÊNCIA DE 160 CV - IMPOSTOS E SEGUROS. AF_08/2015",H,"3,21"
"Depreciação, Juros, Impostos e Seguros, Manutenção e Materiais na Operação dos Equipamentos",91630,"GUINDAUTO HIDRÁULICO, CAPACIDADE MÁXIMA DE CARGA 6500 KG, MOMENTO MÁXIMO DE CARGA 5,8 TM, ALCANCE MÁXIMO HORIZONTAL 7,60 M, INCLUSIVE CAMINHÃO TOCO PBT 9.700 KG, POTÊNCIA DE 160 CV - JUROS. AF_08/2015",H,"7,97"
"Depreciação, Juros, Impostos e Seguros, Manutenção e Materiais na Operação dos Equipamentos",91632,"GUINDAUTO HIDRÁULICO, CAPACIDADE MÁXIMA DE CARGA 6500 KG, MOMENTO MÁXIMO DE CARGA 5,8 TM, ALCANCE MÁXIMO HORIZONTAL 7,60 M, INCLUSIVE CAMINHÃO TOCO PBT 9.700 KG, POTÊNCIA DE 160 CV - MANUTENÇÃO. AF_08/2015",H,"36,72"
"Depreciação, Juros, Impostos e Seguros, Manutenção e Materiais na Operação dos Equipamentos",91633,"GUINDAUTO HIDRÁULICO, CAPACIDADE MÁXIMA DE CARGA 6500 KG, MOMENTO MÁXIMO DE CARGA 5,8 TM, ALCANCE MÁXIMO HORIZONTAL 7,60 M, INCLUSIVE CAMINHÃO TOCO PBT 9.700 KG, POTÊNCIA DE 160 CV - MATERIAIS NA OPERAÇÃO. AF_08/2015",H,"131,98"
"Depreciação, Juros, Impostos e Seguros, Manutenção e Materiais na Operação dos Equipamentos",105979,"GUINDAUTO HIDRÁULICO, CAPACIDADE MÁXIMA DE CARGA 8500 KG, MOMENTO MÁXIMO DE CARGA 30,4 TM, ALCANCE MÁXIMO HORIZONTAL 14,30 M, INCLUSIVE CAMINHÃO TRUCADO PBT 23.000 KG, POTÊNCIA DE 256 CV E CARROCERIA FIXA ABERTA DE MADEIRA - DEPRECIAÇÃO. AF_05/2025",H,"43,79"
"Depreciação, Juros, Impostos e Seguros, Manutenção e Materiais na Operação dos Equipamentos",105982,"GUINDAUTO HIDRÁULICO, CAPACIDADE MÁXIMA DE CARGA 8500 KG, MOMENTO MÁXIMO DE CARGA 30,4 TM, ALCANCE MÁXIMO HORIZONTAL 14,30 M, INCLUSIVE CAMINHÃO TRUCADO PBT 23.000 KG, POTÊNCIA DE 256 CV E CARROCERIA FIXA ABERTA DE MADEIRA - IMPOSTOS E SEGUROS. AF_05/2025",H,"6,02"
"Depreciação, Juros, Impostos e Seguros, Manutenção e Materiais na Operação dos Equipamentos",105980,"GUINDAUTO HIDRÁULICO, CAPACIDADE MÁXIMA DE CARGA 8500 KG, MOMENTO MÁXIMO DE CARGA 30,4 TM, ALCANCE MÁXIMO HORIZONTAL 14,30 M, INCLUSIVE CAMINHÃO TRUCADO PBT 23.000 KG, POTÊNCIA DE 256 CV E CARROCERIA FIXA ABERTA DE MADEIRA - JUROS. AF_05/2025",H,"14,89"
"Depreciação, Juros, Impostos e Seguros, Manutenção e Materiais na Operação dos Equipamentos",105981,"GUINDAUTO HIDRÁULICO, CAPACIDADE MÁXIMA DE CARGA 8500 KG, MOMENTO MÁXIMO DE CARGA 30,4 TM, ALCANCE MÁXIMO HORIZONTAL 14,30 M, INCLUSIVE CAMINHÃO TRUCADO PBT 23.000 KG, POTÊNCIA DE 256 CV E CARROCERIA FIXA ABERTA DE MADEIRA - MANUTENÇÃO. AF_05/2025",H,"69,04"
"Depreciação, Juros, Impostos e Seguros, Manutenção e Materiais na Operação dos Equipamentos",105983,"GUINDAUTO HIDRÁULICO, CAPACIDADE MÁXIMA DE CARGA 8500 KG, MOMENTO MÁXIMO DE CARGA 30,4 TM, ALCANCE MÁXIMO HORIZONTAL 14,30 M, INCLUSIVE CAMINHÃO TRUCADO PBT 23.000 KG, POTÊNCIA DE 256 CV E CARROCERIA FIXA ABERTA DE MADEIRA - MATERIAIS NA OPERAÇÃO. AF_05/2025",H,"155,64"
"Depreciação, Juros, Impostos e Seguros, Manutenção e Materiais na Operação dos Equipamentos",98760,"INVERSOR DE SOLDA MONOFÁSICO DE 160 A, POTÊNCIA DE 7000 W, TENSÃO DE 220 V, TURBO VENTILADO, PROTEÇÃO POR TERMOSTATO, PARA ELETRODOS DE 2,0 A 4,0 MM - DEPRECIAÇÃO. AF_06/2018",H,"0,06"
"Depreciação, Juros, Impostos e Seguros, Manutenção e Materiais na Operação dos Equipamentos",98761,"INVERSOR DE SOLDA MONOFÁSICO DE 160 A, POTÊNCIA DE 7000 W, TENSÃO DE 220 V, TURBO VENTILADO, PROTEÇÃO POR TERMOSTATO, PARA ELETRODOS DE 2,0 A 4,0 MM - JUROS. AF_06/2018",H,"0,01"
"Depreciação, Juros, Impostos e Seguros, Manutenção e Materiais na Operação dos Equipamentos",98762,"INVERSOR DE SOLDA MONOFÁSICO DE 160 A, POTÊNCIA DE 7000 W, TENSÃO DE 220 V, TURBO VENTILADO, PROTEÇÃO POR TERMOSTATO, PARA ELETRODOS DE 2,0 A 4,0 MM - MANUTENÇÃO. AF_06/2018",H,"0,08"
"Depreciação, Juros, Impostos e Seguros, Manutenção e Materiais na Operação dos Equipamentos",98763,"INVERSOR DE SOLDA MONOFÁSICO DE 160 A, POTÊNCIA DE 7000 W, TENSÃO DE 220 V, TURBO VENTILADO, PROTEÇÃO POR TERMOSTATO, PARA ELETRODOS DE 2,0 A 4,0 MM - MATERIAIS NA OPERAÇÃO. AF_06/2018",H,"6,42"
"Depreciação, Juros, Impostos e Seguros, Manutenção e Materiais na Operação dos Equipamentos",99829,"LAVADORA DE ALTA PRESSAO (LAVA-JATO) PARA AGUA FRIA, PRESSAO DE OPERACAO ENTRE 1400 E 1900 LIB/POL2, VAZAO MAXIMA ENTRE 400 E 700 L/H - DEPRECIAÇÃO. AF_05/2023",H,"0,20"
"Depreciação, Juros, Impostos e Seguros, Manutenção e Materiais na Operação dos Equipamentos",99830,"LAVADORA DE ALTA PRESSAO (LAVA-JATO) PARA AGUA FRIA, PRESSAO DE OPERACAO ENTRE 1400 E 1900 LIB/POL2, VAZAO MAXIMA ENTRE 400 E 700 L/H - JUROS. AF_05/2023",H,"0,04"
"Depreciação, Juros, Impostos e Seguros, Manutenção e Materiais na Operação dos Equipamentos",99831,"LAVADORA DE ALTA PRESSAO (LAVA-JATO) PARA AGUA FRIA, PRESSAO DE OPERACAO ENTRE 1400 E 1900 LIB/POL2, VAZAO MAXIMA ENTRE 400 E 700 L/H - MANUTENÇÃO. AF_05/2023",H,"0,14"
"Depreciação, Juros, Impostos e Seguros, Manutenção e Materiais na Operação dos Equipamentos",99832,"LAVADORA DE ALTA PRESSAO (LAVA-JATO) PARA AGUA FRIA, PRESSAO DE OPERACAO ENTRE 1400 E 1900 LIB/POL2, VAZAO MAXIMA ENTRE 400 E 700 L/H - MATERIAIS NA OPERAÇÃO. AF_05/2023",H,"4,77"
"Depreciação, Juros, Impostos e Seguros, Manutenção e Materiais na Operação dos Equipamentos",104516,"LIXADEIRA DE PAREDE, COM LED, POTÊNCIA 750 W, FREQUÊNCIA 60 HZ, VELOCIDADE 1000 A 2100 RPM, DIÂMETRO DA LIXA 225 MM - DEPRECIAÇÃO. AF_12/2022",H,-
"Depreciação, Juros, Impostos e Seguros, Manutenção e Materiais na Operação dos Equipamentos",104517,"LIXADEIRA DE PAREDE, COM LED, POTÊNCIA 750 W, FREQUÊNCIA 60 HZ, VELOCIDADE 1000 A 2100 RPM, DIÂMETRO DA LIXA 225 MM - JUROS. AF_12/2022",H,-
"Depreciação, Juros, Impostos e Seguros, Manutenção e Materiais na Operação dos Equipamentos",104518,"LIXADEIRA DE PAREDE, COM LED, POTÊNCIA 750 W, FREQUÊNCIA 60 HZ, VELOCIDADE 1000 A 2100 RPM, DIÂMETRO DA LIXA 225 MM - MANUTENÇÃO. AF_12/2022",H,-
"Depreciação, Juros, Impostos e Seguros, Manutenção e Materiais na Operação dos Equipamentos",104519,"LIXADEIRA DE PAREDE, COM LED, POTÊNCIA 750 W, FREQUÊNCIA 60 HZ, VELOCIDADE 1000 A 2100 RPM, DIÂMETRO DA LIXA 225 MM - MATERIAIS NA OPERAÇÃO. AF_12/2022",H,"0,69"
"Depreciação, Juros, Impostos e Seguros, Manutenção e Materiais na Operação dos Equipamentos",90682,"MANIPULADOR TELESCÓPICO, POTÊNCIA DE 85 HP, CAPACIDADE DE CARGA DE 3.500 KG, ALTURA MÁXIMA DE ELEVAÇÃO DE 12,3 M - DEPRECIAÇÃO. AF_05/2023",H,"38,75"
"Depreciação, Juros, Impostos e Seguros, Manutenção e Materiais na Operação dos Equipamentos",90683,"MANIPULADOR TELESCÓPICO, POTÊNCIA DE 85 HP, CAPACIDADE DE CARGA DE 3.500 KG, ALTURA MÁXIMA DE ELEVAÇÃO DE 12,3 M - JUROS. AF_05/2023",H,"8,96"
"Depreciação, Juros, Impostos e Seguros, Manutenção e Materiais na Operação dos Equipamentos",90684,"MANIPULADOR TELESCÓPICO, POTÊNCIA DE 85 HP, CAPACIDADE DE CARGA DE 3.500 KG, ALTURA MÁXIMA DE ELEVAÇÃO DE 12,3 M - MANUTENÇÃO. AF_05/2023",H,"42,39"
"Depreciação, Juros, Impostos e Seguros, Manutenção e Materiais na Operação dos Equipamentos",90685,"MANIPULADOR TELESCÓPICO, POTÊNCIA DE 85 HP, CAPACIDADE DE CARGA DE 3.500 KG, ALTURA MÁXIMA DE ELEVAÇÃO DE 12,3 M - MATERIAIS NA OPERAÇÃO. AF_05/2023",H,"56,10"
"Depreciação, Juros, Impostos e Seguros, Manutenção e Materiais na Operação dos Equipamentos",95114,"MARTELETE OU ROMPEDOR PNEUMÁTICO MANUAL, 28 KG, COM SILENCIADOR - DEPRECIAÇÃO. AF_07/2016",H,"0,43"
"Depreciação, Juros, Impostos e Seguros, Manutenção e Materiais na Operação dos Equipamentos",95115,"MARTELETE OU ROMPEDOR PNEUMÁTICO MANUAL, 28 KG, COM SILENCIADOR - JUROS. AF_07/2016",H,"0,09"
"Depreciação, Juros, Impostos e Seguros, Manutenção e Materiais na Operação dos Equipamentos",53863,"MARTELETE OU ROMPEDOR PNEUMÁTICO MANUAL, 28 KG, COM SILENCIADOR - MANUTENÇÃO. AF_07/2016",H,"0,53"
"Depreciação, Juros, Impostos e Seguros, Manutenção e Materiais na Operação dos Equipamentos",104652,"MARTELETE PERFURADOR/ ROMPEDOR ELÉTRICO, POTÊNCIA 800 W, 220 V - DEPRECIAÇÃO. AF_05/2023",H,-
"Depreciação, Juros, Impostos e Seguros, Manutenção e Materiais na Operação dos Equipamentos",104653,"MARTELETE PERFURADOR/ ROMPEDOR ELÉTRICO, POTÊNCIA 800 W, 220 V - JUROS. AF_05/2023",H,-
"Depreciação, Juros, Impostos e Seguros, Manutenção e Materiais na Operação dos Equipamentos",104654,"MARTELETE PERFURADOR/ ROMPEDOR ELÉTRICO, POTÊNCIA 800 W, 220 V - MANUTENÇÃO. AF_05/2023",H,-
"Depreciação, Juros, Impostos e Seguros, Manutenção e Materiais na Operação dos Equipamentos",104655,"MARTELETE PERFURADOR/ ROMPEDOR ELÉTRICO, POTÊNCIA 800 W, 220 V - MATERIAIS NA OPERAÇÃO. AF_05/2023",H,"0,73"
"Depreciação, Juros, Impostos e Seguros, Manutenção e Materiais na Operação dos Equipamentos",102270,"MARTELO DEMOLIDOR ELÉTRICO, COM POTÊNCIA DE 2.000 W, 1.000 IMPACTOS POR MINUTO, PESO DE 30 KG - DEPRECIAÇÃO. AF_01/2021",H,"0,73"
"Depreciação, Juros, Impostos e Seguros, Manutenção e Materiais na Operação dos Equipamentos",102271,"MARTELO DEMOLIDOR ELÉTRICO, COM POTÊNCIA DE 2.000 W, 1.000 IMPACTOS POR MINUTO, PESO DE 30 KG - JUROS. AF_01/2021",H,"0,16"
"Depreciação, Juros, Impostos e Seguros, Manutenção e Materiais na Operação dos Equipamentos",102272,"MARTELO DEMOLIDOR ELÉTRICO, COM POTÊNCIA DE 2.000 W, 1.000 IMPACTOS POR MINUTO, PESO DE 30 KG - MANUTENÇÃO. AF_01/2021",H,"0,91"
"Depreciação, Juros, Impostos e Seguros, Manutenção e Materiais na Operação dos Equipamentos",102273,"MARTELO DEMOLIDOR ELÉTRICO, COM POTÊNCIA DE 2.000 W, 1.000 IMPACTOS POR MINUTO, PESO DE 30 KG - MATERIAIS NA OPERAÇÃO. AF_01/2021",H,"1,83"
"Depreciação, Juros, Impostos e Seguros, Manutenção e Materiais na Operação dos Equipamentos",95255,"MARTELO DEMOLIDOR PNEUMÁTICO MANUAL, 32 KG - DEPRECIAÇÃO. AF_09/2016",H,"0,87"
"Depreciação, Juros, Impostos e Seguros, Manutenção e Materiais na Operação dos Equipamentos",95256,"MARTELO DEMOLIDOR PNEUMÁTICO MANUAL, 32 KG - JUROS. AF_09/2016",H,"0,20"
"Depreciação, Juros, Impostos e Seguros, Manutenção e Materiais na Operação dos Equipamentos",95257,"MARTELO DEMOLIDOR PNEUMÁTICO MANUAL, 32 KG - MANUTENÇÃO. AF_09/2016",H,"1,09"
"Depreciação, Juros, Impostos e Seguros, Manutenção e Materiais na Operação dos Equipamentos",105913,"MARTELO PERFURADOR PNEUMÁTICO MANUAL, HASTE 19 X 108 MM, *11* KG - DEPRECIAÇÃO. AF_02/2025",H,"0,74"
"Depreciação, Juros, Impostos e Seguros, Manutenção e Materiais na Operação dos Equipamentos",105914,"MARTELO PERFURADOR PNEUMÁTICO MANUAL, HASTE 19 X 108 MM, *11* KG - JUROS. AF_02/2025",H,"0,17"
"Depreciação, Juros, Impostos e Seguros, Manutenção e Materiais na Operação dos Equipamentos",105915,"MARTELO PERFURADOR PNEUMÁTICO MANUAL, HASTE 19 X 108 MM, *11* KG - MANUTENÇÃO. AF_02/2025",H,"0,92"
"Depreciação, Juros, Impostos e Seguros, Manutenção e Materiais na Operação dos Equipamentos",103792,"MINI GUINDASTE ARANHA SOBRE ESTEIRAS E LANCA TELESCÓPICA, CAPACIDADE MÁXIMA DE CARGA 3,0 TON, RAIO MÁXIMO DE TRABALHO 8,25 M, ALTURA DE LANÇA DO SOLO 9,2 M, 55 M DE CABO DE AÇO 8 MM, MOTOR ELÉTRICO 220/380 VOLTS - MATERIAIS NA OPERAÇÃO. AF_03/2022",H,"5,05"
"Depreciação, Juros, Impostos e Seguros, Manutenção e Materiais na Operação dos Equipamentos",103789,"MINI GUINDASTE ARANHA SOBRE ESTEIRAS E LANCA TELESCÓPICA, CAPACIDADE MÁXIMA DE CARGA 3,0 TON, RAIO MÁXIMO DE TRABALHO 8,25 M, ALTURA DE LANÇA DO SOLO 9,2 M, 55 M DE CABO DE AÇO 8 MM, MOTOR ELÉTRICO 220/380 VOLTS TRIFÁSICO - DEPRECIAÇÃO. AF_03/2022",H,-
"Depreciação, Juros, Impostos e Seguros, Manutenção e Materiais na Operação dos Equipamentos",103790,"MINI GUINDASTE ARANHA SOBRE ESTEIRAS E LANCA TELESCÓPICA, CAPACIDADE MÁXIMA DE CARGA 3,0 TON, RAIO MÁXIMO DE TRABALHO 8,25 M, ALTURA DE LANÇA DO SOLO 9,2 M, 55 M DE CABO DE AÇO 8 MM, MOTOR ELÉTRICO 220/380 VOLTS TRIFÁSICO - JUROS. AF_03/2022",H,-
"Depreciação, Juros, Impostos e Seguros, Manutenção e Materiais na Operação dos Equipamentos",103791,"MINI GUINDASTE ARANHA SOBRE ESTEIRAS E LANCA TELESCÓPICA, CAPACIDADE MÁXIMA DE CARGA 3,0 TON, RAIO MÁXIMO DE TRABALHO 8,25 M, ALTURA DE LANÇA DO SOLO 9,2 M, 55 M DE CABO DE AÇO 8 MM, MOTOR ELÉTRICO 220/380 VOLTS TRIFÁSICO - MANUTENÇÃO. AF_03/2022",H,-
"Depreciação, Juros, Impostos e Seguros, Manutenção e Materiais na Operação dos Equipamentos",96054,"MINICARREGADEIRA SOBRE RODAS POTENCIA 47HP CAPACIDADE OPERACAO 646 KG, COM VASSOURA MECÂNICA ACOPLADA - DEPRECIAÇÃO. AF_03/2017",H,"27,70"
"Depreciação, Juros, Impostos e Seguros, Manutenção e Materiais na Operação dos Equipamentos",96060,"MINICARREGADEIRA SOBRE RODAS POTENCIA 47HP CAPACIDADE OPERACAO 646 KG, COM VASSOURA MECÂNICA ACOPLADA - JUROS. AF_03/2017",H,"5,72"
